11/02/2020 12:09:55 | LicenceOK | La référence d'objet n'est pas définie à une instance d'un objet.

11/02/2020 12:39:22 | LicenceOK | La référence d'objet n'est pas définie à une instance d'un objet.

11/02/2020 14:20:35 | LicenceOK | La référence d'objet n'est pas définie à une instance d'un objet.

11/02/2020 14:27:30 | LicenceOK | La référence d'objet n'est pas définie à une instance d'un objet.

11/02/2020 14:45:05 | LicenceOK | La référence d'objet n'est pas définie à une instance d'un objet.

11/02/2020 15:19:42 | LicenceOK | La référence d'objet n'est pas définie à une instance d'un objet.

11/02/2020 15:39:03 | SyncInvokeRetourneTousApplicationTaxe | SPX_PARAM_RETOURNEAPPLICATIONTAXE:Impossible de convertir l'objet de type 'System.Int32' en type 'System.String'.

11/02/2020 15:59:48 | LicenceOK | La référence d'objet n'est pas définie à une instance d'un objet.

11/02/2020 16:13:37 | SyncInvokeRetourneTousApplicationTaxe | SPX_PARAM_RETOURNEAPPLICATIONTAXE:Impossible de convertir l'objet de type 'System.Int32' en type 'System.String'.

