13/07/2017 16:54:42 | LogException | Expiration du délai d'attente. Le délai d'attente s'est écoulé avant obtention d'une connexion du pool. Ceci est probablement dû au fait que toutes les connexions regroupées sont en cours d'utilisation et que la taille maximale du pool a été atteinte.

13/07/2017 16:54:42 | RetourneListePoste | Échec du fournisseur sous-jacent sur Open.

13/07/2017 17:11:17 | SyncInvokeRetourneListeAllUser | ok

13/07/2017 17:48:52 | SyncInvokeRetourneListeAllUser | ok

13/07/2017 21:57:21 | SyncInvokeRetourneListeAllUser | ok

13/07/2017 22:11:54 | SyncInvokeRetourneListeAllUser | ok

13/07/2017 22:25:42 | SyncInvokeRetourneListeAllUser | ok

13/07/2017 22:31:03 | SyncInvokeRetourneListeAllUser | ok

13/07/2017 22:56:49 | SyncInvokeRetourneListeAllUser | ok

13/07/2017 23:07:01 | SyncInvokeRetourneListeAllUser | ok

13/07/2017 23:16:56 | SyncInvokeRetourneListeAllUser | ok

13/07/2017 23:26:29 | SyncInvokeRetourneListeAllUser | ok

13/07/2017 23:45:39 | SyncInvokeRetourneListeAllUser | ok

