19/04/2017 00:46:42 | LogException | Le chemin réseau n’a pas été trouvé

19/04/2017 00:46:42 | LogException | Une erreur liée au réseau ou spécifique à l'instance s'est produite lors de l'établissement d'une connexion à SQL Server. Le serveur est introuvable ou n'est pas accessible. Vérifiez que le nom de l'instance est correct et que SQL Server est configuré pour autoriser les connexions distantes. (provider: Named Pipes Provider, error: 40 - Impossible d'ouvrir une connexion à SQL Server)

19/04/2017 00:46:42 | RetourneListePoste | Échec du fournisseur sous-jacent sur Open.

19/04/2017 00:57:03 | SyncInvokeRetourneListeAllUser | ok

19/04/2017 17:48:13 | LogException | Le chemin réseau n’a pas été trouvé

19/04/2017 17:48:13 | LogException | Une erreur liée au réseau ou spécifique à l'instance s'est produite lors de l'établissement d'une connexion à SQL Server. Le serveur est introuvable ou n'est pas accessible. Vérifiez que le nom de l'instance est correct et que SQL Server est configuré pour autoriser les connexions distantes. (provider: Named Pipes Provider, error: 40 - Impossible d'ouvrir une connexion à SQL Server)

19/04/2017 17:48:13 | RetourneListePoste | Échec du fournisseur sous-jacent sur Open.

19/04/2017 17:52:54 | SyncInvokeRetourneListeAllUser | ok

19/04/2017 18:22:31 | SyncInvokeRetourneListeAllUser | ok

