06/03/2018 17:05:02 | LogException | Le chemin réseau n’a pas été trouvé

06/03/2018 17:05:02 | LogException | Une erreur liée au réseau ou spécifique à l'instance s'est produite lors de l'établissement d'une connexion à SQL Server. Le serveur est introuvable ou n'est pas accessible. Vérifiez que le nom de l'instance est correct et que SQL Server est configuré pour autoriser les connexions distantes. (provider: Named Pipes Provider, error: 40 - Impossible d'ouvrir une connexion à SQL Server)

06/03/2018 17:05:02 | returnEnumereWrapper | Échec du fournisseur sous-jacent sur Open.

06/03/2018 17:05:03 | GetStrategieSecuriteActif | Enregistrement annulé :
Une erreur liée au réseau ou spécifique à l'instance s'est produite lors de l'établissement d'une connexion à SQL Server. Le serveur est introuvable ou n'est pas accessible. Vérifiez que le nom de l'instance est correct et que SQL Server est configuré pour autoriser les connexions distantes. (provider: Named Pipes Provider, error: 40 - Impossible d'ouvrir une connexion à SQL Server)

06/03/2018 18:16:28 | LogException | Le nom d’utilisateur ou le mot de passe est incorrect

06/03/2018 18:16:28 | LogException | Une erreur liée au réseau ou spécifique à l'instance s'est produite lors de l'établissement d'une connexion à SQL Server. Le serveur est introuvable ou n'est pas accessible. Vérifiez que le nom de l'instance est correct et que SQL Server est configuré pour autoriser les connexions distantes. (provider: Named Pipes Provider, error: 40 - Impossible d'ouvrir une connexion à SQL Server)

06/03/2018 18:16:28 | GetStrategieSecuriteActif | Échec du fournisseur sous-jacent sur Open.

06/03/2018 18:16:31 | LogException | Le nom d’utilisateur ou le mot de passe est incorrect

06/03/2018 18:16:31 | LogException | Une erreur liée au réseau ou spécifique à l'instance s'est produite lors de l'établissement d'une connexion à SQL Server. Le serveur est introuvable ou n'est pas accessible. Vérifiez que le nom de l'instance est correct et que SQL Server est configuré pour autoriser les connexions distantes. (provider: Named Pipes Provider, error: 40 - Impossible d'ouvrir une connexion à SQL Server)

06/03/2018 18:16:31 | returnEnumereWrapper | Échec du fournisseur sous-jacent sur Open.

06/03/2018 18:17:33 | LogException | Le nom d’utilisateur ou le mot de passe est incorrect

06/03/2018 18:17:33 | LogException | Une erreur liée au réseau ou spécifique à l'instance s'est produite lors de l'établissement d'une connexion à SQL Server. Le serveur est introuvable ou n'est pas accessible. Vérifiez que le nom de l'instance est correct et que SQL Server est configuré pour autoriser les connexions distantes. (provider: Named Pipes Provider, error: 40 - Impossible d'ouvrir une connexion à SQL Server)

06/03/2018 18:17:33 | returnEnumereWrapper | Échec du fournisseur sous-jacent sur Open.

06/03/2018 18:17:34 | LogException | Le nom d’utilisateur ou le mot de passe est incorrect

06/03/2018 18:17:34 | LogException | Une erreur liée au réseau ou spécifique à l'instance s'est produite lors de l'établissement d'une connexion à SQL Server. Le serveur est introuvable ou n'est pas accessible. Vérifiez que le nom de l'instance est correct et que SQL Server est configuré pour autoriser les connexions distantes. (provider: Named Pipes Provider, error: 40 - Impossible d'ouvrir une connexion à SQL Server)

06/03/2018 18:17:34 | GetStrategieSecuriteActif | Échec du fournisseur sous-jacent sur Open.

06/03/2018 18:49:30 | GetStrategieSecuriteActif | Enregistrement annulé :
Expiration du délai d'attente. Le délai d'attente s'est écoulé avant obtention d'une connexion du pool. Ceci est probablement dû au fait que toutes les connexions regroupées sont en cours d'utilisation et que la taille maximale du pool a été atteinte.

06/03/2018 18:50:00 | LogException | Dépassement du délai d’attente

06/03/2018 18:50:00 | LogException | Une connexion a été établie avec le serveur, mais une erreur s'est ensuite produite pendant la négociation préalable à l'ouverture de session. (provider: SSL Provider, error: 0 - Dépassement du délai d’attente.)

06/03/2018 18:50:00 | returnEnumereWrapper | Échec du fournisseur sous-jacent sur Open.

06/03/2018 18:50:32 | GetStrategieSecuriteActif | Enregistrement annulé :
Une erreur liée au réseau ou spécifique à l'instance s'est produite lors de l'établissement d'une connexion à SQL Server. Le serveur est introuvable ou n'est pas accessible. Vérifiez que le nom de l'instance est correct et que SQL Server est configuré pour autoriser les connexions distantes. (provider: Named Pipes Provider, error: 40 - Impossible d'ouvrir une connexion à SQL Server)

06/03/2018 18:51:02 | LogException | Le nom d’utilisateur ou le mot de passe est incorrect

06/03/2018 18:51:02 | LogException | Une erreur liée au réseau ou spécifique à l'instance s'est produite lors de l'établissement d'une connexion à SQL Server. Le serveur est introuvable ou n'est pas accessible. Vérifiez que le nom de l'instance est correct et que SQL Server est configuré pour autoriser les connexions distantes. (provider: Named Pipes Provider, error: 40 - Impossible d'ouvrir une connexion à SQL Server)

06/03/2018 18:51:02 | returnEnumereWrapper | Échec du fournisseur sous-jacent sur Open.

06/03/2018 18:53:14 | LogException | Dépassement du délai d’attente

06/03/2018 18:53:14 | LogException | Le délai d'attente pour la connexion expiré. Le délai d'attente s'est écoulé lors de la tentative de consommation de l'accusé réception de la poignée de main de préconnexion. Cela peut être dû à un échec de la poignée de main de préconnexion ou au fait que le serveur n'a pas pu répondre dans les temps.  Le temps écoulé lors de la tentative de connexion à ce serveur était de - [Préconnexion] initialisation=12306; poignée de main=4755; 

06/03/2018 18:53:14 | returnEnumereWrapper | Échec du fournisseur sous-jacent sur Open.

06/03/2018 18:53:14 | LogException | Dépassement du délai d’attente

06/03/2018 18:53:14 | LogException | Le délai d'attente pour la connexion expiré. Le délai d'attente s'est écoulé lors de la tentative de consommation de l'accusé réception de la poignée de main de préconnexion. Cela peut être dû à un échec de la poignée de main de préconnexion ou au fait que le serveur n'a pas pu répondre dans les temps.  Le temps écoulé lors de la tentative de connexion à ce serveur était de - [Préconnexion] initialisation=12306; poignée de main=4755; 

06/03/2018 18:53:14 | GetStrategieSecuriteActif | Échec du fournisseur sous-jacent sur Open.

06/03/2018 18:57:13 | LogException | Le nom d’utilisateur ou le mot de passe est incorrect

