19/09/2018 11:58:26 | LogException | Le nom d’utilisateur ou le mot de passe est incorrect

19/09/2018 11:58:26 | LogException | Une erreur liée au réseau ou spécifique à l'instance s'est produite lors de l'établissement d'une connexion à SQL Server. Le serveur est introuvable ou n'est pas accessible. Vérifiez que le nom de l'instance est correct et que SQL Server est configuré pour autoriser les connexions distantes. (provider: Named Pipes Provider, error: 40 - Impossible d'ouvrir une connexion à SQL Server)

19/09/2018 11:58:26 | returnEnumereWrapper | Échec du fournisseur sous-jacent sur Open.

19/09/2018 11:59:59 | LogException | Le chemin réseau n’a pas été trouvé

19/09/2018 11:59:59 | LogException | Une erreur liée au réseau ou spécifique à l'instance s'est produite lors de l'établissement d'une connexion à SQL Server. Le serveur est introuvable ou n'est pas accessible. Vérifiez que le nom de l'instance est correct et que SQL Server est configuré pour autoriser les connexions distantes. (provider: Named Pipes Provider, error: 40 - Impossible d'ouvrir une connexion à SQL Server)

19/09/2018 11:59:59 | LogException | La connexion est interrompue et la récupération n'est pas possible.  Le pilote du client a tenté de rétablir la connexion une fois ou plus et toutes les tentatives ont échoué.  Augmentez la valeur de ConnectRetryCount pour augmenter le nombre de tentatives de récupération.

19/09/2018 11:59:59 | GetStrategieSecuriteActif | Une erreur s'est produite lors de l'exécution de la définition de la commande. Pour plus de détails, consultez l'exception interne.

19/09/2018 12:06:08 | LogException | Expiration du délai d'attente. Le délai d'attente s'est écoulé avant obtention d'une connexion du pool. Ceci est probablement dû au fait que toutes les connexions regroupées sont en cours d'utilisation et que la taille maximale du pool a été atteinte.

19/09/2018 12:06:08 | GetListeModule | Échec du fournisseur sous-jacent sur Open.

