27/11/2017 06:59:43 | LogException | Le nom d’utilisateur ou le mot de passe est incorrect

27/11/2017 06:59:44 | LogException | Une erreur liée au réseau ou spécifique à l'instance s'est produite lors de l'établissement d'une connexion à SQL Server. Le serveur est introuvable ou n'est pas accessible. Vérifiez que le nom de l'instance est correct et que SQL Server est configuré pour autoriser les connexions distantes. (provider: Named Pipes Provider, error: 40 - Impossible d'ouvrir une connexion à SQL Server)

27/11/2017 06:59:44 | WcfService.ICaisseService.RetourneListeTa58 | Échec du fournisseur sous-jacent sur Open.

27/11/2017 07:01:14 | LogException | Le nom d’utilisateur ou le mot de passe est incorrect

27/11/2017 07:01:14 | LogException | Une erreur liée au réseau ou spécifique à l'instance s'est produite lors de l'établissement d'une connexion à SQL Server. Le serveur est introuvable ou n'est pas accessible. Vérifiez que le nom de l'instance est correct et que SQL Server est configuré pour autoriser les connexions distantes. (provider: Named Pipes Provider, error: 40 - Impossible d'ouvrir une connexion à SQL Server)

27/11/2017 07:01:14 | WcfService.ICaisseService.RetourneListeTa58 | Échec du fournisseur sous-jacent sur Open.

27/11/2017 07:01:15 | LogException | Le nom d’utilisateur ou le mot de passe est incorrect

27/11/2017 07:01:15 | LogException | Une erreur liée au réseau ou spécifique à l'instance s'est produite lors de l'établissement d'une connexion à SQL Server. Le serveur est introuvable ou n'est pas accessible. Vérifiez que le nom de l'instance est correct et que SQL Server est configuré pour autoriser les connexions distantes. (provider: Named Pipes Provider, error: 40 - Impossible d'ouvrir une connexion à SQL Server)

27/11/2017 07:01:15 | RetourneCaisseEnCours | Échec du fournisseur sous-jacent sur Open.

27/11/2017 07:01:19 | LogException | Le nom d’utilisateur ou le mot de passe est incorrect

27/11/2017 07:01:19 | LogException | Une erreur liée au réseau ou spécifique à l'instance s'est produite lors de l'établissement d'une connexion à SQL Server. Le serveur est introuvable ou n'est pas accessible. Vérifiez que le nom de l'instance est correct et que SQL Server est configuré pour autoriser les connexions distantes. (provider: Named Pipes Provider, error: 40 - Impossible d'ouvrir une connexion à SQL Server)

27/11/2017 07:01:19 | HabiliterCaisse | Échec du fournisseur sous-jacent sur Open.

