21/06/2018 17:43:35 | SyncInvokeEnvoyerFacturesNew | SPX_FAC_RETOURNE_CENTFAC:Procédure stockée 'SPX_FAC_RETOURNE_CENTFAC' introuvable.

21/06/2018 17:47:39 | SyncInvokeEnvoyerFacturesNew | SPX_FAC_RETOURNE_CENTFAC:Procédure stockée 'SPX_FAC_RETOURNE_CENTFAC' introuvable.

21/06/2018 17:49:36 | SyncInvokeEnvoyerFacturesNew | SPX_FAC_RETOURNE_CENTFAC:Nom d'objet 'dbo.FnReturnListeCentre' non valide.

21/06/2018 17:50:44 | SyncInvokeEnvoyerFacturesNew | 20000041635 

21/06/2018 17:52:25 | SyncInvokeEnvoyerFacturesNew | Un objet qui autorise la valeur Null doit posséder une valeur.

21/06/2018 17:52:43 | SyncInvokeEnvoyerFacturesNew | 20000041635 

21/06/2018 17:55:14 | SyncInvokeEnvoyerFacturesNew | Un objet qui autorise la valeur Null doit posséder une valeur.

21/06/2018 18:03:00 | SyncInvokeEnvoyerFacturesNew | 20000041635 

21/06/2018 18:08:12 | SyncInvokeEnvoyerFacturesNew | 20000041635 

21/06/2018 18:12:54 | SyncInvokeEnvoyerFacturesNew | 20000041635 

21/06/2018 18:21:13 | SyncInvokeEnvoyerFacturesNew | 20000041635 

