23/09/2018 10:45:33 | retourneFactureAnnulation | Une erreur s'est produite lors de l'exécution de la définition de la commande. Pour plus de détails, consultez l'exception interne.

23/09/2018 17:59:40 | SyncInvokeChargerLotriPourEdition | Debut 23/09/2018 17:59:40

23/09/2018 17:59:40 | SyncInvokeChargerLotriPourEdition | Fin 23/09/2018 17:59:40

23/09/2018 17:59:51 | SyncInvokeEditerFactures | Début édition  lot 11111111

23/09/2018 18:03:00 | SyncInvokeEditerFactures | Problème édition lot 11111111 => La référence d'objet n'est pas définie à une instance d'un objet.

23/09/2018 18:09:05 | SyncInvokeChargerLotriPourEdition | Debut 23/09/2018 18:09:05

23/09/2018 18:09:05 | SyncInvokeChargerLotriPourEdition | Fin 23/09/2018 18:09:05

23/09/2018 18:09:12 | SyncInvokeEditerFactures | Début édition  lot 11111111

23/09/2018 18:09:46 | SyncInvokeEditerFactures | Problème édition lot 11111111 => La référence d'objet n'est pas définie à une instance d'un objet.

23/09/2018 18:15:16 | SyncInvokeChargerLotriPourEdition | Debut 23/09/2018 18:15:16

23/09/2018 18:15:16 | SyncInvokeChargerLotriPourEdition | Fin 23/09/2018 18:15:16

23/09/2018 18:15:24 | SyncInvokeEditerFactures | Début édition  lot 11111111

23/09/2018 18:16:04 | SyncInvokeEditerFactures | Fin édition lot 11111111

23/09/2018 18:31:43 | SyncInvokeEditerFactures | Début édition  lot 11111111

23/09/2018 18:32:12 | SyncInvokeEditerFactures | Fin édition lot 11111111

23/09/2018 18:57:34 | SyncInvokeChargerLotriPourEdition | Debut 23/09/2018 18:57:34

23/09/2018 18:57:34 | SyncInvokeChargerLotriPourEdition | Fin 23/09/2018 18:57:34

23/09/2018 18:57:44 | SyncInvokeEditerFactures | Début édition  lot 11111111

23/09/2018 18:57:58 | SyncInvokeEditerFactures | Fin édition lot 11111111

23/09/2018 19:36:51 | SyncInvokeEditerFactures | Début édition  lot 11111111

23/09/2018 19:36:57 | SyncInvokeEditerFactures | Fin édition lot 11111111

23/09/2018 19:39:03 | SyncInvokeEditerFactures | Début édition  lot 11111111

23/09/2018 19:39:07 | SyncInvokeEditerFactures | Fin édition lot 11111111

