06/04/2017 12:58:38 | LogException | Nom de colonne non valide : 'VALEURSPECIFIQUE'.

06/04/2017 12:58:38 | SelectGroupeValidationByUserId | Une erreur s'est produite lors de l'exécution de la définition de la commande. Pour plus de détails, consultez l'exception interne.

06/04/2017 13:02:24 | LogException | Nom de colonne non valide : 'VALEURSPECIFIQUE'.

06/04/2017 13:02:24 | SelectGroupeValidationByUserId | Une erreur s'est produite lors de l'exécution de la définition de la commande. Pour plus de détails, consultez l'exception interne.

06/04/2017 13:10:41 | LogException | Nom de colonne non valide : 'VALEURSPECIFIQUE'.

06/04/2017 13:10:41 | SelectGroupeValidationByUserId | Une erreur s'est produite lors de l'exécution de la définition de la commande. Pour plus de détails, consultez l'exception interne.

06/04/2017 13:15:09 | LogException | Nom de colonne non valide : 'VALEURSPECIFIQUE'.

06/04/2017 13:15:09 | SelectGroupeValidationByUserId | Une erreur s'est produite lors de l'exécution de la définition de la commande. Pour plus de détails, consultez l'exception interne.

06/04/2017 13:18:16 | LogException | Nom de colonne non valide : 'VALEURSPECIFIQUE'.

06/04/2017 13:18:16 | SelectGroupeValidationByUserId | Une erreur s'est produite lors de l'exécution de la définition de la commande. Pour plus de détails, consultez l'exception interne.

