14/03/2018 01:19:51 | LogException | Nom de colonne non valide : 'FK_IDCOMMUNE'.

14/03/2018 01:19:51 | LogException | Une erreur s'est produite lors de la mise à jour des entrées. Pour plus d'informations, consultez l'exception interne.

14/03/2018 01:19:51 | InsertPosteTransformation | Une erreur s'est produite lors de la mise à jour des entrées. Pour plus d'informations, consultez l'exception interne.

14/03/2018 01:20:38 | LogException | Nom de colonne non valide : 'FK_IDCOMMUNE'.

14/03/2018 01:20:38 | LogException | Une erreur s'est produite lors de la mise à jour des entrées. Pour plus d'informations, consultez l'exception interne.

14/03/2018 01:20:38 | InsertPosteTransformation | Une erreur s'est produite lors de la mise à jour des entrées. Pour plus d'informations, consultez l'exception interne.

14/03/2018 01:38:35 | LogException | Nom de colonne non valide : 'FK_IDCOMMUNE'.

14/03/2018 01:38:35 | LogException | Une erreur s'est produite lors de la mise à jour des entrées. Pour plus d'informations, consultez l'exception interne.

14/03/2018 01:38:35 | InsertPosteTransformation | Une erreur s'est produite lors de la mise à jour des entrées. Pour plus d'informations, consultez l'exception interne.

