19/09/2018 12:05:46 | LogException | Dépassement du délai d’attente

19/09/2018 12:05:46 | LogException | Le délai d'attente pour la connexion expiré. Le délai d'attente s'est écoulé lors de la tentative de consommation de l'accusé réception de la poignée de main de préconnexion. Cela peut être dû à un échec de la poignée de main de préconnexion ou au fait que le serveur n'a pas pu répondre dans les temps.  Le temps écoulé lors de la tentative de connexion à ce serveur était de - [Préconnexion] initialisation=4799; poignée de main=14532; 

19/09/2018 12:05:46 | SelectAllEtapes | Échec du fournisseur sous-jacent sur Open.

19/09/2018 12:06:08 | LogException | Expiration du délai d'attente. Le délai d'attente s'est écoulé avant obtention d'une connexion du pool. Ceci est probablement dû au fait que toutes les connexions regroupées sont en cours d'utilisation et que la taille maximale du pool a été atteinte.

19/09/2018 12:06:08 | SelectAllOperation | Échec du fournisseur sous-jacent sur Open.

'est écoulé avant obtention d'une connexion du pool. Ceci est probablement dû au fait que toutes les connexions regroupées sont en cours d'utilisation et que la taille maximale du pool a été atteinte.

19/09/2018 12:06:08 | SelectGroupeValidationByUserId | Échec du fournisseur sous-jacent sur Open.

19/09/2018 12:09:33 | LogException | Le nom d’utilisateur ou le mot de passe est incorrect

19/09/2018 12:09:33 | LogException | Une erreur liée au réseau ou spécifique à l'instance s'est produite lors de l'établissement d'une connexion à SQL Server. Le serveur est introuvable ou n'est pas accessible. Vérifiez que le nom de l'instance est correct et que SQL Server est configuré pour autoriser les connexions distantes. (provider: Named Pipes Provider, error: 40 - Impossible d'ouvrir une connexion à SQL Server)

19/09/2018 12:09:33 | SelectAllOperation | Échec du fournisseur sous-jacent sur Open.

