30/11/2017 10:51:02 | LogException | Le nom d’utilisateur ou le mot de passe est incorrect

30/11/2017 10:51:02 | LogException | Une erreur liée au réseau ou spécifique à l'instance s'est produite lors de l'établissement d'une connexion à SQL Server. Le serveur est introuvable ou n'est pas accessible. Vérifiez que le nom de l'instance est correct et que SQL Server est configuré pour autoriser les connexions distantes. (provider: Named Pipes Provider, error: 40 - Impossible d'ouvrir une connexion à SQL Server)

30/11/2017 10:51:02 | SelectAllOperation | Échec du fournisseur sous-jacent sur Open.

30/11/2017 10:54:45 | LogException | Le nom d’utilisateur ou le mot de passe est incorrect

30/11/2017 10:54:45 | LogException | Une erreur liée au réseau ou spécifique à l'instance s'est produite lors de l'établissement d'une connexion à SQL Server. Le serveur est introuvable ou n'est pas accessible. Vérifiez que le nom de l'instance est correct et que SQL Server est configuré pour autoriser les connexions distantes. (provider: Named Pipes Provider, error: 40 - Impossible d'ouvrir une connexion à SQL Server)

30/11/2017 10:54:45 | SelectAllEtapes | Échec du fournisseur sous-jacent sur Open.

30/11/2017 10:56:13 | LogException | Expiration du délai d'attente. Le délai d'attente s'est écoulé avant obtention d'une connexion du pool. Ceci est probablement dû au fait que toutes les connexions regroupées sont en cours d'utilisation et que la taille maximale du pool a été atteinte.

30/11/2017 10:56:13 | SelectAllOperation | Échec du fournisseur sous-jacent sur Open.

ur Open.

30/11/2017 11:07:37 | LogException | Le nom d’utilisateur ou le mot de passe est incorrect

30/11/2017 11:07:37 | LogException | Une erreur liée au réseau ou spécifique à l'instance s'est produite lors de l'établissement d'une connexion à SQL Server. Le serveur est introuvable ou n'est pas accessible. Vérifiez que le nom de l'instance est correct et que SQL Server est configuré pour autoriser les connexions distantes. (provider: Named Pipes Provider, error: 40 - Impossible d'ouvrir une connexion à SQL Server)

30/11/2017 11:07:37 | SelectAllEtapes | Échec du fournisseur sous-jacent sur Open.

30/11/2017 11:13:01 | LogException | Le nom d’utilisateur ou le mot de passe est incorrect

30/11/2017 11:13:01 | LogException | Une erreur liée au réseau ou spécifique à l'instance s'est produite lors de l'établissement d'une connexion à SQL Server. Le serveur est introuvable ou n'est pas accessible. Vérifiez que le nom de l'instance est correct et que SQL Server est configuré pour autoriser les connexions distantes. (provider: Named Pipes Provider, error: 40 - Impossible d'ouvrir une connexion à SQL Server)

30/11/2017 11:13:01 | SelectGroupeValidationByUserId | Échec du fournisseur sous-jacent sur Open.

30/11/2017 11:17:49 | LogException | Le nom d’utilisateur ou le mot de passe est incorrect

30/11/2017 11:17:49 | LogException | Une erreur liée au réseau ou spécifique à l'instance s'est produite lors de l'établissement d'une connexion à SQL Server. Le serveur est introuvable ou n'est pas accessible. Vérifiez que le nom de l'instance est correct et que SQL Server est configuré pour autoriser les connexions distantes. (provider: Named Pipes Provider, error: 40 - Impossible d'ouvrir une connexion à SQL Server)

30/11/2017 11:17:49 | SelectAllEtapes | Échec du fournisseur sous-jacent sur Open.

30/11/2017 12:14:10 | LogException | Le nom d’utilisateur ou le mot de passe est incorrect

30/11/2017 12:14:10 | LogException | Une erreur liée au réseau ou spécifique à l'instance s'est produite lors de l'établissement d'une connexion à SQL Server. Le serveur est introuvable ou n'est pas accessible. Vérifiez que le nom de l'instance est correct et que SQL Server est configuré pour autoriser les connexions distantes. (provider: Named Pipes Provider, error: 40 - Impossible d'ouvrir une connexion à SQL Server)

30/11/2017 12:14:10 | SelectAllOperation | Échec du fournisseur sous-jacent sur Open.

nce s'est produite lors de l'établissement d'une connexion à SQL Server. Le serveur est introuvable ou n'est pas accessible. Vérifiez que le nom de l'instance est correct et que SQL Server est configuré pour autoriser les connexions distantes. (provider: Named Pipes Provider, error: 40 - Impossible d'ouvrir une connexion à SQL Server)

30/11/2017 12:14:10 | SelectGroupeValidationByUserId | Échec du fournisseur sous-jacent sur Open.

30/11/2017 12:33:40 | LogException | Expiration du délai d'attente. Le délai d'attente s'est écoulé avant obtention d'une connexion du pool. Ceci est probablement dû au fait que toutes les connexions regroupées sont en cours d'utilisation et que la taille maximale du pool a été atteinte.

30/11/2017 12:33:40 | SelectGroupeValidationByUserId | Échec du fournisseur sous-jacent sur Open.

30/11/2017 14:21:19 | LogException | Dépassement du délai d’attente

30/11/2017 14:21:19 | LogException | Le délai d'attente pour la connexion expiré. Le délai d'attente s'est écoulé lors de la tentative de consommation de l'accusé réception de la poignée de main de préconnexion. Cela peut être dû à un échec de la poignée de main de préconnexion ou au fait que le serveur n'a pas pu répondre dans les temps.  Le temps écoulé lors de la tentative de connexion à ce serveur était de - [Préconnexion] initialisation=34162; poignée de main=4; 

30/11/2017 14:21:19 | SelectAllOperation | Échec du fournisseur sous-jacent sur Open.

30/11/2017 14:21:21 | LogException | Dépassement du délai d’attente

30/11/2017 14:21:21 | LogException | Le délai d'attente pour la connexion expiré. Le délai d'attente s'est écoulé lors de la tentative de consommation de l'accusé réception de la poignée de main de préconnexion. Cela peut être dû à un échec de la poignée de main de préconnexion ou au fait que le serveur n'a pas pu répondre dans les temps.  Le temps écoulé lors de la tentative de connexion à ce serveur était de - [Préconnexion] initialisation=34162; poignée de main=4; 

30/11/2017 14:21:21 | SelectGroupeValidationByUserId | Échec du fournisseur sous-jacent sur Open.

