09/10/2019 00:15:14 | RenderReport | loadData

09/10/2019 00:15:15 | RenderReport | 014850151266

09/10/2019 00:15:15 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

09/10/2019 00:15:15 | SyncInvokeGetCsPrintFromWebPart | 014850151266

09/10/2019 00:15:15 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

09/10/2019 00:15:15 | LoadData | 014850151266

09/10/2019 00:15:15 | LoadData | Aucune données

09/10/2019 00:15:15 | LoadData | Parametre non trouvé

09/10/2019 00:15:15 | data | data Aucun

09/10/2019 00:15:15 | RunCreationPDF | \\GSEW00819\Impression

09/10/2019 00:15:16 | RunCreationPDF | La source de la définition du rapport n'a pas été spécifiée.

09/10/2019 00:22:13 | RenderReport | loadData

09/10/2019 00:22:13 | RenderReport | 0148502212754

09/10/2019 00:22:13 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

09/10/2019 00:22:13 | SyncInvokeGetCsPrintFromWebPart | 0148502212754

09/10/2019 00:22:13 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

09/10/2019 00:22:13 | LoadData | 0148502212754

09/10/2019 00:22:13 | LoadData | données trouve

09/10/2019 00:22:13 | LoadData | Parametre non trouvé

09/10/2019 00:22:13 | data | data trouve

09/10/2019 00:22:13 | CreatePDFChemin | ~/Reports/Index/Index.rdlc | Chemin du fichier rdlc

09/10/2019 00:22:13 | CreatePDFChemin | Add DataSources ok

09/10/2019 00:22:13 | RunCreationPDF | \\GSEW00819\Impression

09/10/2019 01:26:59 | RenderReport | loadData

09/10/2019 01:26:59 | RenderReport | 0148512657433

09/10/2019 01:26:59 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

09/10/2019 01:26:59 | SyncInvokeGetCsPrintFromWebPart | 0148512657433

09/10/2019 01:26:59 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

09/10/2019 01:27:00 | LoadData | 0148512657433

09/10/2019 01:27:00 | LoadData | données trouve

09/10/2019 01:27:00 | LoadData | Parametre non trouvé

09/10/2019 01:27:00 | data | data trouve

09/10/2019 01:27:00 | CreatePDFChemin | ~/Reports/Facturation/AnomalieFacturation.rdlc | Chemin du fichier rdlc

09/10/2019 01:27:00 | CreatePDFChemin | Add DataSources ok

09/10/2019 01:27:00 | RunCreationPDF | \\GSEW00819\Impression

09/10/2019 01:27:03 | RunCreationPDF | Une erreur s'est produite lors du traitement du rapport local.

09/10/2019 01:27:04 | Callback | Un ou plusieurs paramètres requis pour exécuter le rapport n'ont pas été spécifiés.

09/10/2019 16:09:25 | RenderReport | loadData

09/10/2019 16:09:25 | RenderReport | 0243716910898

09/10/2019 16:09:25 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

09/10/2019 16:09:25 | SyncInvokeGetCsPrintFromWebPart | 0243716910898

09/10/2019 16:09:25 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

09/10/2019 16:09:26 | LoadData | 0243716910898

09/10/2019 16:09:26 | LoadData | données trouve

09/10/2019 16:09:26 | LoadData | Parametre non trouvé

09/10/2019 16:09:26 | data | data trouve

09/10/2019 16:09:26 | CreatePDFChemin | ~/Reports/Accueil/AccuseRecption.rdlc | Chemin du fichier rdlc

09/10/2019 16:09:26 | CreatePDFChemin | Add DataSources ok

09/10/2019 16:09:26 | RunCreationPDF | \\GSEW00819\Impression

09/10/2019 18:46:08 | RenderReport | loadData

09/10/2019 18:46:08 | RenderReport | 02705184559288

09/10/2019 18:46:08 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

09/10/2019 18:46:08 | SyncInvokeGetCsPrintFromWebPart | 02705184559288

09/10/2019 18:46:08 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

09/10/2019 18:46:08 | LoadData | 02705184559288

09/10/2019 18:46:08 | LoadData | données trouve

09/10/2019 18:46:08 | LoadData | Parametre non trouvé

09/10/2019 18:46:08 | data | data trouve

09/10/2019 18:46:08 | CreatePDFChemin | ~/Reports/Accueil/AccuseRecption.rdlc | Chemin du fichier rdlc

09/10/2019 18:46:08 | CreatePDFChemin | Add DataSources ok

09/10/2019 18:46:09 | RunCreationPDF | \\GSEW00819\Impression

