21/06/2018 17:51:15 | ActionMail | 01485175115744

21/06/2018 17:52:28 | RenderReport | loadData

21/06/2018 17:52:28 | RenderReport | 01485175115744

21/06/2018 17:52:28 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

21/06/2018 17:52:28 | SyncInvokeGetCsPrintFromWebPart | 01485175115744

21/06/2018 17:52:28 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

21/06/2018 17:52:28 | LoadData | 01485175115744

21/06/2018 17:52:28 | LoadData | données trouve

21/06/2018 17:52:28 | LoadData | Parametre trouvé

21/06/2018 17:52:28 | data | data trouve

21/06/2018 17:52:29 | LaunchPDFgeneration | ~/Reports/Facturation/FactureSimpleMail.rdlc | Chemin du fichier rdlc

21/06/2018 17:53:16 | ActionMail | 01485175316545

21/06/2018 17:55:14 | RenderReport | loadData

21/06/2018 17:55:14 | RenderReport | 01485175316545

21/06/2018 17:55:14 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

21/06/2018 17:55:14 | SyncInvokeGetCsPrintFromWebPart | 01485175316545

21/06/2018 17:55:14 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

21/06/2018 17:55:14 | LoadData | 01485175316545

21/06/2018 17:55:14 | LoadData | données trouve

21/06/2018 17:55:15 | LoadData | Parametre trouvé

21/06/2018 17:55:15 | data | data trouve

21/06/2018 17:55:15 | LaunchPDFgeneration | ~/Reports/Facturation/FactureSimpleMail.rdlc | Chemin du fichier rdlc

21/06/2018 17:55:18 | LaunchPDFgeneration | TypeEdition : System.Collections.Specialized.StringCollection  pismail : System.Collections.Specialized.StringCollection | Set Parameters

21/06/2018 17:55:18 | LaunchPDFgeneration | Add DataSources ok

21/06/2018 17:55:18 | Run | C:\SOURCES NOUVELLES\Galatee.Silverlight.Web\PDF

21/06/2018 17:55:20 | System.Web.HttpApplication.IExecutionStep.Execute | Debut lancement Mail

21/06/2018 17:55:20 | System.Web.HttpApplication.IExecutionStep.Execute | Debut lancement Mail

21/06/2018 17:55:20 | ProcessRequest | Envoi Mail debut

21/06/2018 17:55:21 | ProcessRequest | Fichier joint debut

21/06/2018 17:55:21 | ProcessRequest | Fichier joint fin

21/06/2018 17:55:21 | ProcessRequest | Envoi Mail ok Debut

21/06/2018 17:55:33 | ProcessRequest | Le délai d'attente de l'opération a expiré.

