24/05/2018 02:42:51 | PrintingFromService | 0283524250841

24/05/2018 02:42:53 | Callback | localhost1818

24/05/2018 02:42:53 | RenderReport | loadData

24/05/2018 02:42:53 | RenderReport | 0283524250841

24/05/2018 02:42:53 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

24/05/2018 02:42:53 | SyncInvokeGetCsPrintFromWebPart | 0283524250841

24/05/2018 02:42:53 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

24/05/2018 02:42:54 | LoadData | 0283524250841

24/05/2018 02:42:54 | LoadData | données trouve

24/05/2018 02:42:54 | LoadData | Parametre trouvé

24/05/2018 02:42:54 | data | data trouve data count: 1456

24/05/2018 02:42:57 | Page_Load | RenderReport retour ok

24/05/2018 02:42:57 | RunExportFile | \\PC\Impression|FactureSimple99999999A245201824257|pdf

24/05/2018 02:43:30 | Page_Load | ICI3

24/05/2018 03:35:18 | PrintingFromService | 0283533518276

24/05/2018 03:35:21 | Callback | localhost1818

24/05/2018 03:35:22 | RenderReport | loadData

24/05/2018 03:35:22 | RenderReport | 0283533518276

24/05/2018 03:35:22 | SyncInvokeGetCsPrintFromWebPart | Lecture debut

24/05/2018 03:35:22 | SyncInvokeGetCsPrintFromWebPart | 0283533518276

24/05/2018 03:35:22 | SyncInvokeGetCsPrintFromWebPart | Lecture OK

24/05/2018 03:35:23 | LoadData | 0283533518276

24/05/2018 03:35:23 | LoadData | données trouve

24/05/2018 03:35:23 | LoadData | Parametre trouvé

24/05/2018 03:35:23 | data | data trouve data count: 1456

24/05/2018 03:35:27 | Page_Load | RenderReport retour ok

24/05/2018 03:35:27 | RunExportFile | \\PC\Impression|FactureSimple99999999A245201833527|pdf

24/05/2018 03:36:14 | Page_Load | ICI3

