11/06/2017 19:02:43 | LogException | Nom d'objet 'dbo.TRAITEMENT_FICHIER' non valide.

11/06/2017 19:02:44 | MiseAJourCategorie7 | Une erreur s'est produite lors de l'exécution de la définition de la commande. Pour plus de détails, consultez l'exception interne.

11/06/2017 19:37:17 | LogException | Nom d'objet 'dbo.TRAITEMENT_FICHIER' non valide.

11/06/2017 19:37:17 | MiseAJourCategorie7 | Une erreur s'est produite lors de l'exécution de la définition de la commande. Pour plus de détails, consultez l'exception interne.

11/06/2017 19:42:57 | LogException | Nom d'objet 'dbo.TRAITEMENT_FICHIER' non valide.

11/06/2017 19:42:57 | MiseAJourCategorie7 | Une erreur s'est produite lors de l'exécution de la définition de la commande. Pour plus de détails, consultez l'exception interne.

11/06/2017 20:11:32 | LogException | Nom d'objet 'dbo.TRAITEMENT_FICHIER' non valide.

11/06/2017 20:11:32 | MiseAJourCategorie7 | Une erreur s'est produite lors de l'exécution de la définition de la commande. Pour plus de détails, consultez l'exception interne.

11/06/2017 20:11:53 | LogException | Nom d'objet 'dbo.TRAITEMENT_FICHIER' non valide.

11/06/2017 20:11:53 | MiseAJourCategorie7 | Une erreur s'est produite lors de l'exécution de la définition de la commande. Pour plus de détails, consultez l'exception interne.

11/06/2017 20:13:32 | LogException | Nom d'objet 'dbo.TRAITEMENT_FICHIER' non valide.

11/06/2017 20:13:32 | MiseAJourCategorie7 | Une erreur s'est produite lors de l'exécution de la définition de la commande. Pour plus de détails, consultez l'exception interne.

