27/05/2017 13:31:42 | LogException | Dépassement du délai d’attente

27/05/2017 13:31:42 | LogException | Expiration du Timeout. Le délai d'attente s'est écoulé avant la fin de l'opération ou le serveur ne répond pas.

27/05/2017 13:31:42 | RetourneClientsDuChecqhe | Une erreur s'est produite lors de l'exécution de la définition de la commande. Pour plus de détails, consultez l'exception interne.

27/05/2017 13:33:07 | LogException | Dépassement du délai d’attente

27/05/2017 13:33:07 | LogException | Expiration du Timeout. Le délai d'attente s'est écoulé avant la fin de l'opération ou le serveur ne répond pas.

27/05/2017 13:33:07 | RetourneClientsDuChecqhe | Une erreur s'est produite lors de l'exécution de la définition de la commande. Pour plus de détails, consultez l'exception interne.

27/05/2017 18:25:16 | ListeDesChequesImpayes | SPX_RECOUV_RETOURNEREGLEMENTCHEQUE:Trop d'arguments sont spécifiés pour la procédure ou la fonction SPX_RECOUV_RETOURNEREGLEMENTCHEQUE.

27/05/2017 18:31:39 | ListeDesChequesImpayes | SPX_RECOUV_RETOURNEREGLEMENTCHEQUE:Trop d'arguments sont spécifiés pour la procédure ou la fonction SPX_RECOUV_RETOURNEREGLEMENTCHEQUE.

27/05/2017 18:44:07 | ListeDesChequesImpayes | SPX_RECOUV_RETOURNEREGLEMENTCHEQUE:Trop d'arguments sont spécifiés pour la procédure ou la fonction SPX_RECOUV_RETOURNEREGLEMENTCHEQUE.

